"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"QPC02SXGN-RC","Sullins Connector Solutions","S9337-ND","JUMPER","JMP1,JMP2,JMP3","Bag","Active","3","0.10000","$0.30","518208","5 Weeks","CONN JUMPER SHORTING .100"" GOLD","RoHS Compliant","Lead free","REACH Unaffected",""
"1106-A","Davies Molding, LLC","1722-1315-ND","Knob","KN1,KN2,KN3,KN4","Bulk","Active","4","1.29000","$5.16","976","6 Weeks","KNOB SERR W/SKIRT 0.236"" PLASTIC","RoHS Compliant","Lead free","Not Available",""
"LM78L05ACZ/NOPB","Texas Instruments","LM78L05ACZNS/NOPB-ND","LM78L05","U6","Box","Active","1","0.68000","$0.68","19269","12 Weeks","IC REG LINEAR 5V 100MA TO92-3","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"MC79L05ACLP","Texas Instruments","296-9603-5-ND","LM79L05","U3","Bulk","Active","1","0.43000","$0.43","5665","16 Weeks","IC REG LINEAR -5V 100MA TO92-3","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"4687","Keystone Electronics","36-4687-ND","Nut","N1,N2,N3,N4","Bulk","Active","4","0.15000","$0.60","6394","6 Weeks","HEX NUT 0.197"" NYLON M2.5","RoHS Compliant","Lead free","REACH Unaffected",""
"151031SS04000","Wurth Electronics Inc.","732-5005-ND","RED","D1","Bulk","Active","1","0.18000","$0.18","6630","11 Weeks","LED RED DIFFUSED 3MM ROUND T/H","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"SB120","ON Semiconductor","SB120FSCT-ND","SB120","D6","Cut Tape (CT)","Active","1","0.37000","$0.37","3010","11 Weeks","DIODE SCHOTTKY 20V 1A DO41","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"29331","Keystone Electronics","36-29331-ND","SCREW","SC1,SC2,SC3,SC4","Bulk","Active","4","0.21000","$0.84","12078","6 Weeks","MACH SCREW PAN SLOTTED M2.5X0.45","RoHS Compliant","Lead free","REACH Unaffected",""
"971100155","Wurth Electronics Inc.","732-13055-ND","Standoff","SO1,SO2,SO3,SO4","Bag","Active","4","0.89000","$3.56","1211","8 Weeks","PLASTIC SPACER STUD METRIC THREA","RoHS Compliant","Lead free","Not Available",""
"LEDM-2-09","Essentra Components","RPC4262-ND","Standoff","SO5,SO6,SO7,SO8,SO9","Bulk","Active","5","0.38000","$1.90","4724","7 Weeks","LED SPACER 3MM T-1 BLACK 9MM","RoHS Compliant","Lead free","REACH Unaffected",""
"TEPT4400","Vishay Semiconductor Opto Division","751-1057-ND","TEPT4400","Q1","Bulk","Active","1","0.69000","$0.69","16812","10 Weeks","SENSOR PHOTO 570NM TOP VIEW RAD","RoHS Compliant","Lead free","Not Available",""
"TL074IN","Texas Instruments","296-7200-5-ND","TL074","U1,U2","Tube","Active","2","0.98000","$1.96","12273","6 Weeks","IC OPAMP JFET 3MHZ 14DIP","RoHS Compliant","Lead free","REACH Unaffected",""
"5006","Keystone Electronics","36-5006-ND","TP","TP1,TP2","Bulk","Active","2","0.35000","$0.70","250717","6 Weeks","PC TEST POINT COMPACT BLACK","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"151031YS06000","Wurth Electronics Inc.","732-5010-ND","Yellow","D14","Bulk","Active","1","0.18000","$0.18","3656","11 Weeks","LED YELLOW DIFF 3MM ROUND T/H","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"ZVN4206A","Diodes Incorporated","ZVN4206A-ND","ZVN4206A","Q2,Q3","Bulk","Active","2","0.84000","$1.68","11392","21 Weeks","MOSFET N-CH 60V 600MA TO92-3","RoHS Compliant","Lead free","REACH Unaffected",""
